Source,Target,Strength
"Agranular insular area, ventral part","Agranular insular area, ventral part",0.8050883650664161
Visceral area,Visceral area,0.7681767148231493
Gigantocellular reticular nucleus,Magnocellular reticular nucleus,0.7497753544102311
Dorsal nucleus raphe,Trochlear nucleus,0.7265796344343126
Visceral area,Bed nucleus of the anterior commissure,0.7237652232091666
Gigantocellular reticular nucleus,Nucleus raphe magnus,0.7104024141088178
Visceral area,"Agranular insular area, posterior part",0.693883043394159
Visceral area,Gustatory areas,0.6827566183781875
"Agranular insular area, ventral part","Agranular insular area, dorsal part",0.6750427001142002
Dorsal nucleus raphe,Dorsal nucleus raphe,0.636220511713892
